,Geneid,CV_7213_HO,IZ_7181_STEA,PP_6922_HO,PP_6758_HO,IZ_7194_NC,PP_7137_STEA,CV_6967_STEA,CV_7194_NC,PP_6967_STEA,PP_7344_EARLY,IZ_7012_NC,IZ_6967_STEA,IZ_7172_STEA,CV_7188_EARLY,PP_7173_NC,CV_7172_STEA,CV_7252_HO,IZ_7252_HO,CV_7181_STEA,IZ_7251_STEA,CV_6758_HO,CV_7173_NC,PP_7181_STEA,CV_6922_HO,IZ_7157_EARLY,PP_7157_EARLY,CV_7157_EARLY,IZ_7344_EARLY,PP_7194_NC,PP_7252_HO,IZ_7213_HO,CV_7279_NC,CV_6610_EARLY,PP_7041_EARLY,IZ_6922_HO,IZ_7188_EARLY,PP_7279_NC,IZ_6758_HO,CV_7041_EARLY,IZ_6610_EARLY,PP_7172_STEA,CV_7012_NC,PP_7012_NC,IZ_7137_STEA,CV_7251_STEA,PP_6610_EARLY,PP_7230_HO,IZ_7173_NC,IZ_7041_EARLY,IZ_7279_NC,IZ_7230_HO,PP_7213_HO,PP_7251_STEA,CV_7230_HO,PP_7188_EARLY,CV_7137_STEA,CV_7344_EARLY
0,ENSG00000233421,0.00841296,0.011958400000000001,0.00763175,0.014602500000000001,0.00937444,0.0115979,0.00757166,0.00582898,0.00793222,0.0096749,0.00955471,0.0159846,0.00648999,0.00636981,0.00606935,0.00901388,0.00630972,0.00540833,0.00859323,0.00432666,0.0109368,0.00432666,0.00799231,0.00871342,0.0103359,0.0114176,0.00853314,0.00769185,0.0150832,0.00390602,0.011778100000000001,0.00685055,0.00630972,0.00775194,0.0102758,0.0176071,0.00570879,0.0120786,0.00618953,0.0072712,0.00588907,0.00636981,0.00618953,0.00540833,0.010576299999999999,0.011778100000000001,0.00871342,0.00841296,0.00534824,0.00793222,0.00606935,0.015143299999999998,0.00793222,0.00444685,0.00835286,0.00871342,0.00510787
1,ENSG00000219481,0.030864199999999998,0.101852,0.052469100000000005,0.0,0.015432099999999999,0.00925926,0.012345700000000001,0.0216049,0.027777800000000002,0.262346,0.0216049,0.00617284,0.11419800000000001,0.046296300000000006,0.00308642,0.101852,0.0,0.0,0.0339506,0.046296300000000006,0.015432099999999999,0.0,0.05864199999999999,0.037037,0.157407,0.17284000000000002,0.22222199999999998,0.182099,0.027777800000000002,0.00308642,0.030864199999999998,0.037037,0.012345700000000001,0.061728399999999996,0.037037,0.012345700000000001,0.0185185,0.0,0.0987654,0.015432099999999999,0.10493800000000002,0.015432099999999999,0.0216049,0.0,0.0648148,0.027777800000000002,0.043209899999999996,0.015432099999999999,0.08333330000000001,0.00617284,0.0802469,0.0,0.0493827,0.052469100000000005,0.0185185,0.0339506,0.15123499999999998
2,ENSG00000219481,0.1,0.34,0.14,0.0,0.05,0.01,0.04,0.09,0.07,0.85,0.03,0.0,0.33,0.11,0.02,0.36,0.0,0.01,0.12,0.15,0.07,0.0,0.19,0.12,0.48,0.51,0.71,0.62,0.02,0.01,0.06,0.12,0.04,0.19,0.13,0.05,0.06,0.0,0.32,0.05,0.21,0.01,0.06,0.0,0.21,0.09,0.09,0.05,0.27,0.02,0.24,0.02,0.16,0.18,0.04,0.01,0.45
3,ENSG00000219481,0.548611,0.416667,0.458333,0.527778,0.45138900000000004,0.381944,0.4375,0.44444399999999995,0.395833,0.597222,0.361111,0.590278,0.555556,0.638889,0.388889,0.3125,0.555556,0.368056,0.458333,0.42361099999999996,0.590278,0.243056,0.3125,0.659722,0.791667,0.618056,0.8194440000000001,0.625,0.21527800000000002,0.402778,0.611111,0.46527799999999997,0.256944,0.548611,0.520833,0.5625,0.49305600000000005,0.402778,0.576389,0.5625,0.40972200000000003,0.5,0.49305600000000005,0.375,0.541667,0.701389,0.611111,0.361111,0.479167,0.381944,0.395833,0.46527799999999997,0.375,0.46527799999999997,0.402778,0.340278,0.590278
4,ENSG00000219481,0.548611,0.43055600000000005,0.458333,0.527778,0.45138900000000004,0.381944,0.4375,0.44444399999999995,0.395833,0.590278,0.361111,0.590278,0.548611,0.631944,0.388889,0.3125,0.541667,0.354167,0.458333,0.416667,0.590278,0.243056,0.326389,0.659722,0.791667,0.618056,0.805556,0.625,0.21527800000000002,0.395833,0.611111,0.46527799999999997,0.256944,0.548611,0.520833,0.5625,0.49305600000000005,0.402778,0.576389,0.534722,0.40972200000000003,0.5,0.49305600000000005,0.375,0.555556,0.701389,0.611111,0.354167,0.479167,0.381944,0.395833,0.46527799999999997,0.375,0.46527799999999997,0.402778,0.340278,0.590278
5,ENSG00000215908,0.0343935,0.0465976,0.0417899,0.0802515,0.035133099999999994,0.030325400000000002,0.0425296,0.024038499999999997,0.0321746,0.0329142,0.0987426,0.06434909999999999,0.025887599999999997,0.04511830000000001,0.043269199999999994,0.0366124,0.035503,0.0281065,0.041050300000000005,0.0188609,0.0373521,0.0417899,0.034763300000000004,0.0343935,0.0613905,0.0588018,0.04548819999999999,0.027736700000000003,0.0739645,0.012574,0.07692310000000001,0.024038499999999997,0.08173079999999999,0.04511830000000001,0.056213,0.09800299999999999,0.034763300000000004,0.0469675,0.0380917,0.06176040000000001,0.030325400000000002,0.0880178,0.057322500000000005,0.025887599999999997,0.0469675,0.06656799999999999,0.08099110000000001,0.0373521,0.029216000000000002,0.0255178,0.019600599999999996,0.10392,0.0314349,0.0325444,0.08468930000000001,0.0321746,0.0144231
6,ENSG00000215908,0.08333330000000001,0.0528121,0.09533610000000001,0.103567,0.0606996,0.055898500000000004,0.090535,0.060013699999999996,0.0764746,0.0768176,0.13134400000000002,0.107339,0.057613199999999996,0.09499310000000001,0.0960219,0.0651578,0.08950620000000001,0.0648148,0.0572702,0.0751029,0.110425,0.0603567,0.046296300000000006,0.0919067,0.101852,0.139575,0.103224,0.052469100000000005,0.0816187,0.05658440000000001,0.11899900000000001,0.08436210000000001,0.0696159,0.0823045,0.101852,0.103567,0.0984225,0.0929355,0.10048,0.055555600000000004,0.0802469,0.103224,0.06310009999999999,0.0569273,0.08573389999999999,0.0761317,0.150206,0.08950620000000001,0.079904,0.0826475,0.107682,0.0977366,0.0644719,0.08950620000000001,0.090535,0.100823,0.042866900000000006
7,ENSG00000215908,0.00832342,0.0104043,0.00951249,0.0109988,0.00416171,0.0107015,0.00980975,0.00564804,0.00743163,0.006837100000000001,0.00832342,0.0104043,0.006837100000000001,0.0121879,0.00564804,0.00535077,0.00832342,0.006837100000000001,0.00772889,0.00505351,0.0107015,0.00891795,0.00713436,0.00980975,0.0107015,0.0154578,0.017538599999999998,0.00475624,0.006837100000000001,0.00653983,0.013674200000000003,0.00653983,0.00713436,0.0124851,0.0139715,0.0139715,0.00653983,0.005945300000000001,0.00832342,0.00891795,0.00445898,0.005945300000000001,0.00832342,0.00416171,0.00832342,0.00921522,0.011593299999999999,0.00713436,0.011890600000000001,0.0104043,0.00862069,0.00921522,0.00951249,0.00832342,0.00475624,0.00921522,0.00386445
